,City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed,City ID
330,oksfjord,71.54063059671776,21.578300145247823,33.8,80,32,16.11,778362
331,camacha,35.4024144565949,-14.965733141911329,61.56,88,75,9.17,2270385
332,raduzhnyy,59.83124610035753,49.94611502372541,2.02,87,36,8.28,1540356
333,sao jose da coroa grande,-12.117725798321374,-28.818951619611738,75.68,96,92,6.15,3388456
334,mazara del vallo,36.549671246571975,12.40089542073062,53.6,87,0,4.7,6541759
335,sorab,14.25832693027283,75.12236934057321,77.57,46,0,7.38,1255713
336,sitka,52.443330655409824,-136.41049026508279,38.78,56,92,10.63,4267710
337,gbarnga,6.701459090754369,-9.182534705506924,70.73,97,48,3.02,2277060
338,severo-kurilsk,42.36053417507594,157.43574532801262,39.68,93,44,11.97,2121385
339,namibe,-16.000632597303238,5.7626814329624665,70.69,100,0,8.28,3347019
340,mende,44.73790093187088,3.472516461570393,40.18,97,48,2.24,2994617
341,borogontsy,64.5746083543821,132.22939388246874,-1.32,57,36,4.59,2026160
342,padang,-1.6905251540604382,96.56954970373897,78.61,100,48,9.84,1633419
343,zhezkazgan,46.13918149539538,69.38389802393641,28.4,79,90,8.95,1516589
344,gusinoye ozero,51.471062213677186,106.67762497573392,22.54,80,0,3.36,2023778
346,gushikawa,21.692429670018228,134.78103712209378,80.17,54,20,8.05,1863495
347,pemagatsel,26.924990272202166,91.18138221996185,63.08,44,0,1.68,1337379
348,yagodnoye,61.98378020265466,149.8270062138294,-10.18,63,44,3.02,2119626
349,clyde river,70.0709192859822,-75.18988273491453,6.8,92,90,11.41,5924351
350,basoko,0.8047281943004094,22.7057570789147,73.88,98,64,2.91,219414
351,west wendover,41.23253672226332,-114.2607724323708,39.92,35,1,13.87,5710035
352,nanortalik,59.96356305754972,-44.59768695524116,26.68,91,0,10.29,3421765
353,coahuayana,9.960669981339791,-108.58880436448142,69.47,75,24,2.13,3981460
354,saint-junien,46.286432813106586,0.9396152112749689,44.6,100,90,5.82,6454825
355,arlit,19.713039320809543,4.970892698144183,59.62,30,0,2.8,2447513
356,cravo norte,6.381288544548028,-69.3240616428061,75.28,93,0,3.58,3685702
